ID,In NGC_663?,,,,Alt Prob
,,,,,
Gaia DR3 511217317157254144,0,,,,1
,,,,,
Gaia DR3 511217317165126144,0.65497076,,,,0.34502924
,,,,,
Gaia DR3 511217317169162240,0,,,,1
,,,,,
Gaia DR3 511217248449814784,0,,,,1
,,,,,
Gaia DR3 511217312861808128,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511217248438565376,0,,,,1
,,,,,
Gaia DR3 511217317165414528,0.988304094,,,,0.011695906
,,,,,
Gaia DR3 511217351524857856,0.986354776,,,,0.013645224
,,,,,
Gaia DR3 511217278502088192,0,,,,1
,,,,,
Gaia DR3 511217282798298240,0,,,,1
,,,,,
Gaia DR3 511217248445983616,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217317165460224,0,,,,1
,,,,,
Gaia DR3 511217312861820288,0,,,,1
,,,,,
Gaia DR3 511217209782587520,0.321637427,,,,0.678362573
,,,,,
Gaia DR3 511217282805384576,0,,,,1
,,,,,
Gaia DR3 511217282797492352,0,,,,1
,,,,,
Gaia DR3 511217248445940352,0.713450292,,,,0.286549708
,,,,,
Gaia DR3 511217312861827840,0,,,,1
,,,,,
Gaia DR3 511217282805390464,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217248445660928,0.026315789,,,,0.973684211
,,,,,
Gaia DR3 511217214085923840,0,,,,1
,,,,,
Gaia DR3 511217214085923968,0,,,,1
,,,,,
Gaia DR3 511217248445662720,0,,,,1
,,,,,
Gaia DR3 511217214086200832,0.959064327,,,,0.040935673
,,,,,
Gaia DR3 511217351524851200,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217214085915648,0.888888889,,,,0.111111111
,,,,,
Gaia DR3 511217317158028032,0,,,,1
,,,,,
Gaia DR3 511217351528891008,0,,,,1
,,,,,
Gaia DR3 511217351517768960,0,,,,1
,,,,,
Gaia DR3 511217209782580480,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217351516959744,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217248445655296,0,,,,1
,,,,,
Gaia DR3 511217145366449280,0,,,,1
,,,,,
Gaia DR3 511217282798307584,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217317165118336,0.929239766,,,,0.070760234
,,,,,
Gaia DR3 511217282805374208,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217351516947072,0,,,,1
,,,,,
Gaia DR3 511217351524847360,0.68128655,,,,0.31871345
,,,,,
Gaia DR3 511217282805387008,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217351524847616,0,,,,1
,,,,,
Gaia DR3 511264252570069632,0.102339181,,,,0.897660819
,,,,,
Gaia DR3 511217282798310656,0,,,,1
,,,,,
Gaia DR3 511217282797502208,0,,,,1
,,,,,
Gaia DR3 511217145366451328,0.900584795,,,,0.099415205
,,,,,
Gaia DR3 511217145366451840,0.980263158,,,,0.019736842
,,,,,
Gaia DR3 511217214085928192,0.929824561,,,,0.070175439
,,,,,
Gaia DR3 511217248438575488,0,,,,1
,,,,,
Gaia DR3 511217282809419264,0.011695906,,,,0.988304094
,,,,,
Gaia DR3 511217351517772160,0,,,,1
,,,,,
Gaia DR3 511217214078088064,0,,,,1
,,,,,
Gaia DR3 511217244142313344,0,,,,1
,,,,,
Gaia DR3 511264149490938880,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511217282805734400,0,,,,1
